Volume_max,Piston_Pressure_max_t6,Piston_Pressure_mean_t6,Piston_Position_max,Piston_Position_min,Piston_Velocity_flat_ratio_t6,Piston_Velocity_flat_duration_t8,Flow_Rate_flat_ratio,Flow_Rate_jetting_duration,scenario
49.6358457812596,5000308.98156082,1190352.0627181781,-0.0002443845180006,-0.0519322414051816,0.9625,1.887,1.0,0.0,Normal
49.6358457812596,5000308.98156082,1190352.0627181781,-0.0002443845180006,-0.0519322414051816,0.9625,1.887,1.0,0.0,Normal
49.6358457812596,5000308.98156082,1190352.0627181781,-0.0002443845180006,-0.0519322414051816,0.9625,1.887,1.0,0.0,Normal
49.6358457812596,5000308.98156082,1190352.0627181781,-0.0002443845180006,-0.0519322414051816,0.9625,1.887,1.0,0.0,Normal
49.6358457812596,5000308.98156082,1190352.0627181781,-0.0002443845180006,-0.0519322414051816,0.9625,1.887,1.0,0.0,Normal
49.6358457812596,5000308.98156082,1190352.0627181781,-0.0002443845180006,-0.0519322414051816,0.9625,1.887,1.0,0.0,Normal
49.6358457812596,5000308.98156082,1190352.0627181781,-0.0002443845180006,-0.0519322414051816,0.9625,1.887,1.0,0.0,Normal
49.6358457812596,5000308.98156082,1190352.0627181781,-0.0002443845180006,-0.0519322414051816,0.9625,1.887,1.0,0.0,Normal
49.6358457812596,5000308.98156082,1190352.0627181781,-0.0002443845180006,-0.0519322414051816,0.9625,1.887,1.0,0.0,Normal
49.6358457812596,5000308.98156082,1190352.0627181781,-0.0002443845180006,-0.0519322414051816,0.9625,1.887,1.0,0.0,Normal
49.6358457812596,5000308.98156082,1190352.0627181781,-0.0002443845180006,-0.0519322414051816,0.9625,1.887,1.0,0.0,Normal
49.6358457812596,5000308.98156082,1190352.0627181781,-0.0002443845180006,-0.0519322414051816,0.9625,1.887,1.0,0.0,Normal
49.6358457812596,5000308.98156082,1190352.0627181781,-0.0002443845180006,-0.0519322414051816,0.9625,1.887,1.0,0.0,Normal
49.6358457812596,5000308.98156082,1190352.0627181781,-0.0002443845180006,-0.0519322414051816,0.9625,1.887,1.0,0.0,Normal
49.6358457812596,5000308.98156082,1190352.0627181781,-0.0002443845180006,-0.0519322414051816,0.9625,1.887,1.0,0.0,Normal
49.6358457812596,5000308.98156082,1190352.0627181781,-0.0002443845180006,-0.0519322414051816,0.9625,1.887,1.0,0.0,Normal
49.6358457812596,5000308.98156082,1190352.0627181781,-0.0002443845180006,-0.0519322414051816,0.9625,1.887,1.0,0.0,Normal
49.6358457812596,5000308.98156082,1190352.0627181781,-0.0002443845180006,-0.0519322414051816,0.9625,1.887,1.0,0.0,Normal
49.6358457812596,5000308.98156082,1190352.0627181781,-0.0002443845180006,-0.0519322414051816,0.9625,1.887,1.0,0.0,Normal
49.6358457812596,5000308.98156082,1190352.0627181781,-0.0002443845180006,-0.0519322414051816,0.9625,1.887,1.0,0.0,Normal
49.6358457812596,5000308.98156082,1190352.0627181781,-0.0002443845180006,-0.0519322414051816,0.9625,1.887,1.0,0.0,Normal
49.6358457812596,5000308.98156082,1190352.0627181781,-0.0002443845180006,-0.0519322414051816,0.9625,1.887,1.0,0.0,Normal
49.6358457812596,5000308.98156082,1190352.0627181781,-0.0002443845180006,-0.0519322414051816,0.9625,1.887,1.0,0.0,Normal
49.6358457812596,5000308.98156082,1190352.0627181781,-0.0002443845180006,-0.0519322414051816,0.9625,1.887,1.0,0.0,Normal
49.6358457812596,5000308.98156082,1190352.0627181781,-0.0002443845180006,-0.0519322414051816,0.9625,1.887,1.0,0.0,Normal
49.6358457812596,5000308.98156082,1190352.0627181781,-0.0002443845180006,-0.0519322414051816,0.9625,1.887,1.0,0.0,Normal
49.6358457812596,5000308.98156082,1190352.0627181781,-0.0002443845180006,-0.0519322414051816,0.9625,1.887,1.0,0.0,Normal
49.6358457812596,5000308.98156082,1190352.0627181781,-0.0002443845180006,-0.0519322414051816,0.9625,1.887,1.0,0.0,Normal
49.6358457812596,5000308.98156082,1190352.0627181781,-0.0002443845180006,-0.0519322414051816,0.9625,1.887,1.0,0.0,Normal
49.6358457812596,5000308.98156082,1190352.0627181781,-0.0002443845180006,-0.0519322414051816,0.9625,1.887,1.0,0.0,Normal
49.6358457812596,5000308.98156082,1190352.0627181781,-0.0002443845180006,-0.0519322414051816,0.9625,1.887,1.0,0.0,Normal
49.6358457812596,5000308.98156082,1190352.0627181781,-0.0002443845180006,-0.0519322414051816,0.9625,1.887,1.0,0.0,Normal
49.6358457812596,5000308.98156082,1190352.0627181781,-0.0002443845180006,-0.0519322414051816,0.9625,1.887,1.0,0.0,Normal
49.6358457812596,5000308.98156082,1190352.0627181781,-0.0002443845180006,-0.0519322414051816,0.9625,1.887,1.0,0.0,Normal
49.6358457812596,5000308.98156082,1190352.0627181781,-0.0002443845180006,-0.0519322414051816,0.9625,1.887,1.0,0.0,Normal
49.6358457812596,5000308.98156082,1190352.0627181781,-0.0002443845180006,-0.0519322414051816,0.9625,1.887,1.0,0.0,Normal
49.6358457812596,5000308.98156082,1190352.0627181781,-0.0002443845180006,-0.0519322414051816,0.9625,1.887,1.0,0.0,Normal
49.6358457812596,5000308.98156082,1190352.0627181781,-0.0002443845180006,-0.0519322414051816,0.9625,1.887,1.0,0.0,Normal
49.6358457812596,5000308.98156082,1190352.0627181781,-0.0002443845180006,-0.0519322414051816,0.9625,1.887,1.0,0.0,Normal
49.6358457812596,5000308.98156082,1190352.0627181781,-0.0002443845180006,-0.0519322414051816,0.9625,1.887,1.0,0.0,Normal
