cycle_id,label,Volume_max,Volume_mean,Volume_auc,Volume_std,Volume_flat_ratio,Volume_rise_time,Piston_Pressure_max,Piston_Pressure_mean,Piston_Pressure_auc,Piston_Pressure_std,Piston_Pressure_flat_ratio,Piston_Pressure_rise_time,Flow_Rate_max,Flow_Rate_mean,Flow_Rate_auc,Flow_Rate_std,Flow_Rate_flat_ratio,Flow_Rate_rise_time,Piston_Position_max,Piston_Position_mean,Piston_Position_auc,Piston_Position_std,Piston_Position_flat_ratio,Piston_Position_rise_time,Piston_Velocity_max,Piston_Velocity_mean,Piston_Velocity_auc,Piston_Velocity_std,Piston_Velocity_flat_ratio,Piston_Velocity_rise_time
20250605_134319_RID014,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20250605_134320_RID014,1,43.7987227659969,11.618438631865432,116.17410539590318,17.579254226306656,0.7245275472452755,1.5570000000000004,69900000.0,-1266247.1726251855,-12701187.960377801,3323146.325646373,0.1982801719828017,0.0,0.0627926351821147,0.003994586747337582,0.03994986472112157,0.014456538788474374,0.9779022097790221,0.008000000000000007,-0.0471548603676473,-0.0768391037600559,-0.7684165062625588,0.021840795270602724,0.9917008299170083,0.0,1.16000694990604,-0.00027406094599886904,-0.0027408862200042445,0.11429748777857159,0.9653034696530347,0.001
20250605_134404_RID014,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20250605_134405_RID014,1,49.4966275372217,13.960749220017306,139.5967046356245,20.14038756622056,0.7237276272372762,1.7730000000000006,69900000.0,-1154364.130399038,-11582245.655057695,3281310.72161988,0.1982801719828017,0.0,0.0627925334706389,0.003994434406924514,0.039948341164650465,0.014456264936956452,0.9779022097790221,0.008000000000000007,-0.0471292059728703,-0.0734577958680816,-0.7346028427470314,0.022917147069179265,0.9918008199180082,0.0,1.13373893917598,0.0002852255469140994,0.002852537995476921,0.11413767721468955,0.9668033196680332,0.001
20250605_134447_RID014,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20250605_134448_RID014,1,52.7121911015317,15.294871781924574,152.9376565954769,21.52454777282314,0.7231276872312768,1.8890000000000002,69900000.0,-1269836.614460717,-12737085.968160857,3324813.914825389,0.20317968203179682,0.0,0.062793733975689,0.003996778287201645,0.03997178231130204,0.01446060955752401,0.9778022197780222,0.007000000000000117,-0.043895222332968,-0.07323291469992284,-0.7323554238059994,0.02370800223556992,0.9917008299170083,0.001,1.1191100225825,0.0006087175424463947,0.006087781442785484,0.11385430500288299,0.9696030396960303,0.001
20250605_134534_RID014,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20250605_134535_RID014,1,52.6960288773404,15.285433276456043,152.84327018339818,21.517905799131707,0.7178282171782822,1.8899999999999997,69900000.0,-1263481.801273891,-12673531.481458813,3322739.9037399082,0.20317968203179682,0.0,0.0627939623393918,0.003997051584240181,0.03997451555498443,0.014461109007551645,0.9778022197780222,0.008000000000000007,-0.0438459463246926,-0.07316581418258182,-0.7316843761940234,0.02371220352494108,0.9917008299170083,0.001,1.11911403642239,0.0006136494395730005,0.0061371053458260695,0.11385983204245191,0.9697030296970303,0.001
20250605_134635_RID014,1,,,,,,,,,,,,,0.0627930068458028,0.003995232871590632,0.03995632660978913,0.014457751615753914,0.9779022097790221,0.008000000000000007,,,,,,,,,,,,
20250605_134636_RID014,1,5.09348059544205e-06,1.163870040639758e-06,1.1637317536140496e-05,1.3351085537891608e-06,1.0,3.643,69900000.0,-1202223.7924190485,-12060890.16020938,3305352.4023355884,0.20587941205879412,0.0,,,,,,,-0.0471548603676473,-0.08763161072830834,-0.8763313392257339,0.01998918000164101,0.9916008399160084,0.0,1.28068133560395,-0.004479485667009066,-0.04479933874950765,0.1148153983351248,0.9681031896810319,0.001
